CID,Name,n_maps,selected_idx,removed_indices,coverage_frac,range,mean_active,std_active,composite_score,score_diff,close_call,z_coverage,z_range,z_mean
6568,2-butanol,2,0,1,0.2879010891963497,6.066000000000001,0.6638559202453987,0.545096986284518,0.3535533905932758,0.7071067811865477,False,0.7071067811865498,-0.7071067811865475,-0.7071067811865469
6569,2-butanone,2,0,1,0.29555490138357376,8.461,0.6815616932270916,0.6792937685574024,1.7677669529663689,3.5355339059327378,False,0.7071067811865476,0.7071067811865476,-0.7071067811865476
6584,methyl acetate,1,0,,0.31910509272887844,9.009,0.5469302121771218,0.5223787300281669,0.0,,False,,,
6590,isobutyric acid,1,0,,0.2731822196055343,8.4774,0.7006901939655173,0.6810372634628463,0.0,,False,,,
6669,ketone moschus,1,0,,0.30585811009714453,11.0085,0.6009063522617902,0.6293601224976485,0.0,,False,,,
6989,thymol,1,0,,0.3179275831616132,9.237,0.7015756481481482,0.6199201046412908,0.0,,False,,,
7047,quinoline,1,0,,0.32263762143067415,8.8421,0.5923295620437956,0.531538341502661,0.0,,False,,,
7144,creosol,1,0,,0.2876067118045334,5.438000000000001,0.6507454759467758,0.5627819548787597,0.0,,False,,,
7150,methyl benzoate,3,0,"1,2",0.2558139534883721,7.268,0.8023474913693902,0.6896058695286014,1.443375672974068,0.0,True,0.5773502691896277,0.577350269189627,-0.5773502691896268
7151,methyl nicotinate,1,0,,0.34765969973506033,8.6607,0.541708467400508,0.44782777982785166,0.0,,False,,,
7169,phenyl benzoate,1,0,,0.33823962319693845,6.941000000000001,0.6162770670147955,0.4836324337168886,0.0,,False,,,
7237,o-xylene,1,0,,0.2749484839564321,6.365,0.7045886081370449,0.5437485992834262,0.0,,False,,,
7247,"1,2,4-trimethylbenzene",1,0,,0.3114512805416544,6.808,0.6538925992438563,0.5461047671781829,0.0,,False,,,
7268,diethyl oxalate,1,0,,0.2770091256991463,6.3116,0.7105580233793836,0.6831513243472567,0.0,,False,,,
7334,ethyl chrysanthemumate,1,0,,0.29820429790992053,7.8776,0.7065503455083909,0.6089009513712623,0.0,,False,,,
7366,tert-butylbenzene,2,0,1,0.29496614659994114,6.237,0.6824947604790419,0.5098642002874129,1.7677669529663638,3.5355339059327378,False,0.7071067811865426,0.7071067811865476,-0.7071067811865475
7406,isopropylbenzene,1,0,,0.2814247865763909,5.77,0.7269249999999999,0.5538581901550055,0.0,,False,,,
7410,acetophenone,1,0,,0.2940830144244922,6.33,0.7876876876876877,0.6068809298549264,0.0,,False,,,
7460,alpha-phellandrene,2,1,0,0.27082720047100384,5.503500000000001,0.8575814130434782,0.6346399421789278,0.3535533905933066,0.7071067811865474,False,0.7071067811865475,-0.7071067811865476,-0.7071067811866134
7500,ethylbenzene,3,0,"1,2",0.31262879010891964,5.221,0.5337566478342749,0.44454968437979087,0.6918399076064602,1.023969150459438,False,0.9631352768350945,-0.828402679970454,-1.1142146214836395
7507,cyclohexylmethanol,1,0,,0.29202237268177805,8.510000000000002,0.6243649193548387,0.6730370201879997,0.0,,False,,,
7559,methyl phenylacetate,1,0,,0.3199882249043273,8.5117,0.640044342226311,0.5296842333577673,0.0,,False,,,
7581,2-benzylpyridine,1,0,,0.30468060052987933,9.2512,0.708982995169082,0.5624653808354537,0.0,,False,,,
7583,diphenyl ether,1,0,,0.3008536944362673,7.6042000000000005,0.6154048923679061,0.5472856994347746,0.0,,False,,,
7668,propylbenzene,1,0,,0.3037974683544304,6.858,0.6741467538759689,0.5015718218605595,0.0,,False,,,
7705,butylbenzene,1,0,,0.3123344127171033,8.793,0.60603849198869,0.4733752713374905,0.0,,False,,,
7725,p-tolualdehyde,1,0,,0.30585811009714453,7.068,0.6331405678537054,0.5469991177186229,0.0,,False,,,
7749,ethyl propionate,3,1,"0,2",0.3246982631733883,6.7439,0.5404293744333635,0.47891224787842673,0.8276535842286336,0.5809530823506753,False,1.1349746649165142,-0.850876540123748,-1.0871109188717347
7761,diethyl malonate,1,0,,0.29584927877539,8.761099999999999,0.6754008955223881,0.6235190614641611,0.0,,False,,,
7762,ethyl butyrate,3,0,"1,2",0.2602296143656167,7.077,0.7779072850678733,0.671720916094866,1.4569635871342559,0.3737189313853724,True,0.11624492099477435,1.070447709515766,-0.5405419132474308
7765,diethylacetal,1,0,,0.27465410656461586,9.1639,0.7345286173633441,0.6891223188354638,0.0,,False,,,
7770,propyl butyrate,1,0,,0.25964085958198413,6.9140999999999995,0.7580944444444445,0.640905851971711,0.0,,False,,,
