,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
64,,,,,,,-0.2,-1.0,-1.2,,-0.1,-0.9,-1.3,-0.4,-0.4,-0.1,-0.6,-0.9,-0.4,0.16,1.01,0.92,0.13,0.4,0.55,0.62,0.64,0.26,0.06,-0.4,0.13,0.08,0.12,0.29,0.38,0.22,0.26,0.1,0.11,0.22,0.29,-0.5,
65,,,,,,,,0.19,1.01,-0.4,-1.3,-0.1,-0.8,-0.2,-0.3,-0.3,-0.6,-0.8,-0.5,0.0,0.65,0.7,0.52,0.71,0.61,0.58,0.51,0.04,0.02,-0.6,-0.1,0.0,-0.3,-0.3,0.25,0.21,-0.2,-0.1,-0.1,0.07,0.19,-0.9,
66,,,,,,,,0.17,0.81,-0.1,-0.4,0.09,-0.1,0.56,-0.4,-0.7,-0.8,-0.9,-0.8,-0.3,0.32,0.84,0.71,0.63,0.09,0.43,0.32,-0.1,-0.1,-0.4,-0.4,-0.5,-0.2,-0.1,-0.1,0.04,-0.4,-0.4,-0.5,-0.1,-0.6,-1.0,
67,,,,,,,,,,,-0.7,-0.9,-0.3,0.07,-0.3,-0.1,-0.6,-1.1,-0.8,-0.3,0.29,0.65,0.56,0.62,0.2,0.11,0.14,0.28,0.0,-0.2,-0.2,-0.2,-0.3,0.07,0.03,0.09,-0.3,-0.1,-0.8,-0.2,-0.7,,
68,,,,,,,,,,,-0.4,-0.9,-0.4,0.48,-1.9,-0.1,-0.9,-0.8,-0.6,-0.5,0.49,0.28,0.19,0.35,0.09,0.22,0.01,0.06,0.0,-0.4,-0.5,-0.4,-0.6,-0.3,-0.1,-0.3,-0.2,-0.2,-1.2,-0.3,0.33,,
69,,,,,,,,,,,0.63,1.33,0.22,0.74,-0.7,-0.1,-0.6,-1.3,-0.3,-1.0,0.14,0.31,0.39,0.36,0.23,-0.1,0.0,0.13,0.0,-0.7,-0.6,-0.5,-1.0,-0.7,-0.2,-0.3,-0.9,,-2.0,0.02,0.08,,
70,,,,,,,,,,,,,0.14,-0.1,-0.4,-0.5,0.16,-1.2,0.27,0.07,-0.1,0.21,0.0,-0.3,0.2,-0.1,-0.4,-0.2,-0.3,-0.5,-0.6,-0.1,-1.5,-1.8,-0.4,-0.2,-1.6,,,1.02,-0.5,,
71,,,,,,,,,,,,,0.62,0.09,0.03,-0.2,-0.1,-0.4,-0.5,-0.8,0.32,0.19,0.16,-0.6,0.33,-0.4,-0.8,-0.8,-0.2,-0.5,-0.1,0.06,-1.6,-2.1,,-0.4,-2.1,,,,,,
72,,,,,,,,,,,,,,,-0.6,-0.2,0.18,0.16,0.32,0.33,,0.2,0.11,-0.9,0.12,-0.2,-0.8,-0.3,0.0,-0.3,-0.9,0.04,-3.6,-3.5,,,,,,,,,
73,,,,,,,,,,,,,,,-0.5,-0.1,0.07,-0.1,0.07,-0.5,-0.1,0.12,0.14,-0.8,-0.2,-1.1,-1.0,0.11,,-0.8,-2.9,-0.9,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,0.05,-0.3,-0.8,-0.6,0.16,0.06,1.5,-1.4,-0.7,-1.2,-0.7,-1.1,,-0.8,-4.4,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,-0.3,-0.4,-0.6,-0.8,0.33,-0.1,,-0.4,-1.4,-2.2,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,-0.7,-0.6,0.1,-0.5,0.19,-0.8,-1.2,-1.5,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,0.05,-1.0,0.76,-0.2,-0.8,-1.8,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,-0.5,-0.1,,,,,,,,,,,,,,,,,,,
